iata;icao;name;runways;longest;elevation;country;region;city;lat;lon
ZQN;NZQN;Queenstown International Airport;4;6204;1171;NZ;NZ-OTA;Queenstown;-45.0210990906;168.738998413
ARM;YARM;Armidale Airport;2;5702;3556;AU;AU-NSW;Armidale;-30.5280990601;151.617004395
BHQ;YBHI;Broken Hill Airport;2;8251;958;AU;AU-NSW;Broken Hill;-32.0013999939;141.472000122
HTI;YBHM;Hamilton Island Airport;1;5591;15;AU;AU-QLD;Hamilton Island;-20.3581008911;148.95199585
MKY;YBMK;Mackay Airport;2;6499;19;AU;AU-QLD;Mackay;-21.1716995239;149.179992676
BNK;YBNA;Ballina Byron Gateway Airport;1;6234;7;AU;AU-NSW;Ballina;-28.8339004517;153.56199646
PPP;YBPN;Proserpine Whitsunday Coast Airport;2;6801;82;AU;AU-QLD;Proserpine;-20.4950008392;148.552001953
BME;YBRM;Broome International Airport;1;8064;56;AU;AU-WA;Broome;-17.9447002410889;122.232002258301
BHS;YBTH;Bathurst Airport;2;5594;2435;AU;AU-NSW;Bathurst;-33.4094009399;149.651992798
TSV;YBTL;Townsville Airport;2;7999;18;AU;AU-QLD;Townsville;-19.2525005340576;146.764999389648
GLT;YGLA;Gladstone Airport;1;5364;64;AU;AU-QLD;Gladstone;-23.8696994781;151.223007202
GFF;YGTH;Griffith Airport;2;4931;439;AU;AU-NSW;Griffith;-34.2508010864;146.067001343
HVB;YHBA;Hervey Bay Airport;1;6561;60;AU;AU-QLD;Hervey Bay;-25.3188991547;152.880004883
LDH;YLHI;Lord Howe Island Airport;1;2907;5;AU;AU-NSW;Lord Howe Island;-31.5382995605;159.07699585
LSY;YLIS;Lismore Airport;1;5404;35;AU;AU-NSW;Lismore;-28.8302993774;153.259994507
AVV;YMAV;Avalon Airport;1;10000;35;AU;AU-VIC;Melbourne;-38.0393981934;144.468994141
ABX;YMAY;Albury Airport;1;6234;539;AU;AU-NSW;Albury;-36.067798614502;146.957992553711
MIM;YMER;Merimbula Airport;1;5256;7;AU;AU-NSW;Merimbula;-36.9085998535;149.901000977
HBA;YMHB;Hobart International Airport;1;7385;13;AU;AU-TAS;Hobart;-42.836101532;147.509994507
MQL;YMIA;Mildura Airport;2;6004;167;AU;AU-VIC;Mildura;-34.2291984558;142.085998535
LST;YMLT;Launceston Airport;3;6499;562;AU;AU-TAS;Launceston;-41.54529953;147.214004517
MRZ;YMOR;Moree Airport;2;5292;701;AU;AU-NSW;Moree;-29.4988994598;149.845001221
MYA;YMRY;Moruya Airport;2;4997;14;AU;AU-NSW;Moruya;-35.8978004456;150.143997192
NRA;YNAR;Narrandera Airport;2;5302;474;AU;AU-NSW;Narrandera;-34.7022018433;146.511993408
OAG;YORG;Orange Airport;2;5499;3115;AU;AU-NSW;Orange;-33.3816986084;149.132995605
KTA;YPKA;Karratha Airport;1;6070;29;AU;AU-WA;Karratha;-20.7122001648;116.773002625
PKE;YPKS;Parkes Airport;2;5525;1069;AU;AU-NSW;Parkes;-33.131401062;148.238998413
PQQ;YPMQ;Port Macquarie Airport;2;5203;12;AU;AU-NSW;Port Macquarie;-31.4358005524;152.863006592
CFS;YCFS;Coffs Harbour Airport;2;6824;18;AU;AU-NSW;Coffs Harbour;-30.3206005096;153.115997314
DBO;YSDU;Dubbo City Regional Airport;2;5604;935;AU;AU-NSW;Dubbo;-32.2167015076;148.574996948
NLK;YSNF;Norfolk Island International Airport;2;6398;371;NF;NF-U-A;Burnt Pine;-29.0415992736816;167.938995361328
TMW;YSTW;Tamworth Airport;4;7218;1334;AU;AU-NSW;Tamworth;-31.0839004517;150.847000122
WGA;YSWG;Wagga Wagga City Airport;2;5801;724;AU;AU-NSW;Wagga Wagga;-35.1652984619;147.466003418
