Country;Region;Population;Area (sq. mi.);GDP ($ per capita);Literacy (%)
Qatar ;NEAR EAST                          ;885359;11437;21500;82.5
Reunion ;SUB-SAHARAN AFRICA                 ;787584;2517;5800;88.9
Romania ;EASTERN EUROPE                     ;22303552;237500;7000;98.4
Russia ;C.W. OF IND. STATES ;142893540;17075200;8900;99.6
Rwanda ;SUB-SAHARAN AFRICA                 ;8648248;26338;1300;70.4
Saint Helena ;SUB-SAHARAN AFRICA                 ;7502;413;2500;97.0
Saint Kitts & Nevis ;LATIN AMER. & CARIB    ;39129;261;8800;97.0
Saint Lucia ;LATIN AMER. & CARIB    ;168458;616;5400;67.0
St Pierre & Miquelon ;NORTHERN AMERICA                   ;7026;242;6900;99.0
Saint Vincent and the Grenadines ;LATIN AMER. & CARIB    ;117848;389;2900;96.0
Samoa ;OCEANIA                            ;176908;2944;5600;99.7
San Marino ;WESTERN EUROPE                     ;29251;61;34600;96.0
Sao Tome & Principe ;SUB-SAHARAN AFRICA                 ;193413;1001;1200;79.3
Saudi Arabia ;NEAR EAST                          ;27019731;1960582;11800;78.8
Senegal ;SUB-SAHARAN AFRICA                 ;11987121;196190;1600;40.2
Serbia ;EASTERN EUROPE                     ;9396411;88361;2200;93.0
Seychelles ;SUB-SAHARAN AFRICA                 ;81541;455;7800;58.0
Sierra Leone ;SUB-SAHARAN AFRICA                 ;6005250;71740;500;31.4
Singapore ;ASIA (EX. NEAR EAST)         ;4492150;693;23700;92.5
Slovakia ;EASTERN EUROPE                     ;5439448;48845;13300;
Slovenia ;EASTERN EUROPE                     ;2010347;20273;19000;99.7
Solomon Islands ;OCEANIA                            ;552438;28450;1700;
Somalia ;SUB-SAHARAN AFRICA                 ;8863338;637657;500;37.8
South Africa ;SUB-SAHARAN AFRICA                 ;44187637;1219912;10700;86.4
Spain ;WESTERN EUROPE                     ;40397842;504782;22000;97.9
Sri Lanka ;ASIA (EX. NEAR EAST)         ;20222240;65610;3700;92.3
Sudan ;SUB-SAHARAN AFRICA                 ;41236378;2505810;1900;61.1
Suriname ;LATIN AMER. & CARIB    ;439117;163270;4000;93.0
Swaziland ;SUB-SAHARAN AFRICA                 ;1136334;17363;4900;81.6
Sweden ;WESTERN EUROPE                     ;9016596;449964;26800;99.0
Switzerland ;WESTERN EUROPE                     ;7523934;41290;32700;99.0
Syria ;NEAR EAST                          ;18881361;185180;3300;76.9
Taiwan ;ASIA (EX. NEAR EAST)         ;23036087;35980;23400;96.1
Tajikistan ;C.W. OF IND. STATES ;7320815;143100;1000;99.4
Tanzania ;SUB-SAHARAN AFRICA                 ;37445392;945087;600;78.2
Thailand ;ASIA (EX. NEAR EAST)         ;64631595;514000;7400;92.6
Togo ;SUB-SAHARAN AFRICA                 ;5548702;56785;1500;60.9
Tonga ;OCEANIA                            ;114689;748;2200;98.5
Trinidad & Tobago ;LATIN AMER. & CARIB    ;1065842;5128;9500;98.6
Tunisia ;NORTHERN AFRICA                    ;10175014;163610;6900;74.2
Turkey ;NEAR EAST                          ;70413958;780580;6700;86.5
Turkmenistan ;C.W. OF IND. STATES ;5042920;488100;5800;98.0
Turks & Caicos Is ;LATIN AMER. & CARIB    ;21152;430;9600;98.0
Tuvalu ;OCEANIA                            ;11810;26;1100;
Uganda ;SUB-SAHARAN AFRICA                 ;28195754;236040;1400;69.9
Ukraine ;C.W. OF IND. STATES ;46710816;603700;5400;99.7
United Arab Emirates ;NEAR EAST                          ;2602713;82880;23200;77.9
United Kingdom ;WESTERN EUROPE                     ;60609153;244820;27700;99.0
United States ;NORTHERN AMERICA                   ;298444215;9631420;37800;97.0
Uruguay ;LATIN AMER. & CARIB    ;3431932;176220;12800;98.0
Uzbekistan ;C.W. OF IND. STATES ;27307134;447400;1700;99.3
Vanuatu ;OCEANIA                            ;208869;12200;2900;53.0
Venezuela ;LATIN AMER. & CARIB    ;25730435;912050;4800;93.4
Vietnam ;ASIA (EX. NEAR EAST)         ;84402966;329560;2500;90.3
Virgin Islands ;LATIN AMER. & CARIB    ;108605;1910;17200;
Wallis and Futuna ;OCEANIA                            ;16025;274;3700;50.0
West Bank ;NEAR EAST                          ;2460492;5860;800;
Western Sahara ;NORTHERN AFRICA                    ;273008;266000;;
Yemen ;NEAR EAST                          ;21456188;527970;800;50.2
Zambia ;SUB-SAHARAN AFRICA                 ;11502010;752614;800;80.6
Zimbabwe ;SUB-SAHARAN AFRICA                 ;12236805;390580;1900;90.7
